path,status,depth,evidence,notes
.dockerignore,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
.github/workflows/ghcr.yml,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
Dockerfile,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
deploy/nginx.conf,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
docker-compose.yml,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
package.json,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
pnpm-lock.yaml,reviewed,boundary,evidence/baseline.json; evidence/dependency-audit.json,锁文件格式/依赖审计和TypeScript工程引用；未重装依赖
scripts/model-bank-snapshot.mjs,reviewed,static,evidence/root-coverage.json,主审读取实现及边界；参考parser另有浏览器worker验证
src/components/agent/AgentChatPage.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/AgentControls.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/AgentGenerationBatches.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/AgentGenerationResults.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/AgentRunDetails.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/ChatWorkspace.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/ContextCompactionDetails.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ContextParameters.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ContextUsagePanel.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/FloatingComposer.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/GenerationReview.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/HomeWelcome.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/LobeChatTheme.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/MemoryContextDetails.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/MessageList.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ModelSelectTrigger.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ModelSettingsMenu.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ProjectImageSources.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ProjectPicker.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/ReferenceAttachments.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/ReferenceLibrary.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
src/components/agent/TaskBoard.tsx,reviewed,static,evidence/ui-coverage.json,已阅读实现/路由参数、归属校验与组件连接；不等于逐交互 E2E。
src/components/agent/TaskInspector.tsx,reviewed,deep,evidence/ui-coverage.json,已阅读实现并追踪状态、持久化或调用边界；动态验证范围见 ui-review.md。
